tweet_id,user_id,created_at,text
TW1,U1,2023-09-04,Sample tweet #SQL
TW2,U2,2023-11-25,Sample tweet #AgriTech
TW3,U3,2023-10-01,Sample tweet #Analytics
TW4,U4,2023-04-18,Sample tweet #AgriTech
TW5,U5,2023-12-23,Sample tweet #AgriTech
TW6,U6,2023-11-18,Sample tweet #Analytics
TW7,U7,2023-08-17,Sample tweet #SQL
TW8,U8,2023-12-29,Sample tweet #Analytics
TW9,U9,2023-06-03,Sample tweet #DataSci
TW10,U10,2023-01-09,Sample tweet #SQL
TW11,U11,2023-11-27,Sample tweet #SQL
TW12,U12,2023-07-04,Sample tweet #DataSci
TW13,U13,2023-08-19,Sample tweet #SQL
TW14,U14,2023-08-06,Sample tweet #DataSci
TW15,U15,2023-12-22,Sample tweet #SQL
TW16,U16,2023-10-19,Sample tweet #Analytics
TW17,U17,2023-12-01,Sample tweet #Analytics
TW18,U18,2023-03-27,Sample tweet #AgriTech
TW19,U19,2023-05-23,Sample tweet #DataSci
TW20,U20,2023-08-05,Sample tweet #DataSci
TW21,U21,2023-01-25,Sample tweet #SQL
TW22,U22,2023-02-04,Sample tweet #AgriTech
TW23,U23,2023-01-11,Sample tweet #Analytics
TW24,U24,2023-06-21,Sample tweet #Analytics
TW25,U25,2023-05-05,Sample tweet #DataSci
TW26,U26,2023-05-27,Sample tweet #Analytics
TW27,U27,2023-04-07,Sample tweet #SQL
TW28,U28,2023-08-08,Sample tweet #SQL
TW29,U29,2023-12-17,Sample tweet #DataSci
TW30,U30,2023-02-12,Sample tweet #Analytics
TW31,U31,2023-08-28,Sample tweet #AgriTech
TW32,U32,2023-04-16,Sample tweet #Analytics
TW33,U33,2023-09-23,Sample tweet #SQL
TW34,U34,2023-10-15,Sample tweet #Analytics
TW35,U35,2023-09-11,Sample tweet #Analytics
TW36,U36,2023-05-23,Sample tweet #DataSci
TW37,U37,2023-07-21,Sample tweet #AgriTech
TW38,U38,2023-07-23,Sample tweet #DataSci
TW39,U39,2023-05-06,Sample tweet #DataSci
TW40,U40,2023-07-16,Sample tweet #AgriTech
TW41,U41,2023-04-30,Sample tweet #DataSci
TW42,U42,2023-07-26,Sample tweet #DataSci
TW43,U43,2023-04-25,Sample tweet #AgriTech
TW44,U44,2023-10-13,Sample tweet #AgriTech
TW45,U45,2023-05-15,Sample tweet #AgriTech
TW46,U46,2023-04-11,Sample tweet #SQL
TW47,U47,2023-07-10,Sample tweet #SQL
TW48,U48,2023-11-19,Sample tweet #AgriTech
TW49,U49,2023-01-25,Sample tweet #SQL
TW50,U50,2023-08-06,Sample tweet #DataSci
TW51,U51,2023-12-28,Sample tweet #SQL
TW52,U52,2023-05-23,Sample tweet #AgriTech
TW53,U53,2023-11-22,Sample tweet #AgriTech
TW54,U54,2023-11-09,Sample tweet #DataSci
TW55,U55,2023-11-10,Sample tweet #DataSci
TW56,U56,2023-03-05,Sample tweet #AgriTech
TW57,U57,2023-09-07,Sample tweet #SQL
TW58,U58,2023-09-10,Sample tweet #AgriTech
TW59,U59,2023-06-05,Sample tweet #SQL
TW60,U60,2023-05-18,Sample tweet #Analytics
TW61,U61,2023-09-28,Sample tweet #Analytics
TW62,U62,2023-04-04,Sample tweet #AgriTech
TW63,U63,2023-01-17,Sample tweet #SQL
TW64,U64,2023-03-16,Sample tweet #DataSci
TW65,U65,2023-12-21,Sample tweet #Analytics
TW66,U66,2023-05-13,Sample tweet #Analytics
TW67,U67,2023-07-14,Sample tweet #AgriTech
TW68,U68,2023-06-20,Sample tweet #SQL
TW69,U69,2023-06-13,Sample tweet #SQL
TW70,U70,2023-05-30,Sample tweet #AgriTech
TW71,U71,2023-09-07,Sample tweet #SQL
TW72,U72,2023-12-25,Sample tweet #Analytics
TW73,U73,2023-07-12,Sample tweet #AgriTech
TW74,U74,2023-01-14,Sample tweet #DataSci
TW75,U75,2023-12-13,Sample tweet #DataSci
TW76,U76,2023-06-01,Sample tweet #Analytics
TW77,U77,2023-11-15,Sample tweet #Analytics
TW78,U78,2023-12-24,Sample tweet #DataSci
TW79,U79,2023-09-03,Sample tweet #Analytics
TW80,U80,2023-12-20,Sample tweet #SQL
TW81,U81,2023-04-02,Sample tweet #SQL
TW82,U82,2023-11-03,Sample tweet #SQL
TW83,U83,2023-11-16,Sample tweet #DataSci
TW84,U84,2023-11-16,Sample tweet #SQL
TW85,U85,2023-07-09,Sample tweet #DataSci
TW86,U86,2023-03-26,Sample tweet #Analytics
TW87,U87,2023-05-17,Sample tweet #SQL
TW88,U88,2023-03-14,Sample tweet #Analytics
TW89,U89,2023-03-10,Sample tweet #AgriTech
TW90,U90,2023-03-06,Sample tweet #Analytics
TW91,U91,2023-01-13,Sample tweet #AgriTech
TW92,U92,2023-09-17,Sample tweet #SQL
TW93,U93,2023-09-24,Sample tweet #SQL
TW94,U94,2023-02-03,Sample tweet #AgriTech
TW95,U95,2023-03-16,Sample tweet #Analytics
TW96,U96,2023-09-28,Sample tweet #DataSci
TW97,U97,2023-09-05,Sample tweet #SQL
TW98,U98,2023-03-28,Sample tweet #AgriTech
TW99,U99,2023-07-12,Sample tweet #AgriTech
TW100,U100,2023-06-23,Sample tweet #SQL
